No,Name,Code ,BOS Code,Sub-Grids,Units,Gender,Max Class,Corresponding Lines,Same Students
80,12 Digital Photography,2DCSDPH,,2,1,Both,Nil Max,Yes,Yes
81,12 English as an Additional Language,2EAL,,2,1,Both,Nil Max,Yes,Yes
82,12 English,2ESH,,2,1,Both,Nil Max,Yes,Yes
83,12 Essential English,2ETE,,2,1,Both,Nil Max,Yes,Yes
84,12 Food & Hospitality Studies,2FOH,,2,1,Both,Nil Max,Yes,Yes
85,12 Health and Wellbeing,2HEW,,2,1,Both,Nil Max,Yes,Yes
86,12 Digital Products,2IESDPR,,2,1,Both,Nil Max,Yes,Yes
87,12 Food Innovation,2IESFD,,2,1,Both,Nil Max,Yes,Yes
88,12 Sport Health & Physical Act,2ILASS,,2,1,Both,Nil Max,Yes,Yes
89,12 SAASTA (Integrated Learning),2ILBPWR,,2,1,Both,Nil Max,Yes,Yes
90,12 Stage Production (Integrated Learning),2ILBSP,,2,1,Both,Nil Max,Yes,Yes
91,12 Urban Street & Community Art,2ILNAT,,2,1,Both,Nil Max,Yes,Yes
92,12 Math Skills for Life,2ILNMTH,,2,1,Both,Nil Max,Yes,Yes
93,12 Psychology (Integrated Learning),2ILNPSC,,2,1,Both,Nil Max,Yes,Yes
94,12 Science & Healthy Lifestyle (Integrated Learning),2ILSC,,2,1,Both,Nil Max,Yes,Yes
95,12 Essential Mathematics,2MEM,,2,1,Both,Nil Max,Yes,Yes
96,12 General Mathematics,2MGM,,2,1,Both,Nil Max,Yes,Yes
97,12 Mathematical Methods,2MHS,,2,1,Both,Nil Max,Yes,Yes
98,12 Material Products with Metal,2IESMW,,2,1,Both,Nil Max,Yes,Yes
99,12 Furniture Construction,2MRSW,,2,1,Both,Nil Max,Yes,Yes
100,12 Specialist Mathematics,2MSC,,2,1,Both,Nil Max,Yes,Yes
101,12 Physical Education,2PHD,,2,1,Both,Nil Max,Yes,Yes
102,12 Politics Power and People,2PPP20,,2,1,Both,Nil Max,Yes,Yes
103,12 Political Philosophy,2ILPP,,2,1,Both,Nil Max,Yes,Yes
104,12 Philosophy,2PPS,,2,1,Both,Nil Max,Yes,Yes
105,12 Psychology,2PSC,,2,1,Both,Nil Max,Yes,Yes
106,12 Physics,2PYI,,2,1,Both,Nil Max,Yes,Yes
107,12 Robotic and Electronic Systems,2RES20,,2,1,Both,Nil Max,Yes,Yes
108,12 Research Project A,2RPJ1A,,1,1,Both,Nil Max,,
109,12 Research Project B,2RPJ1B,,1,1,Both,Nil Max,,
110,12 Research Project,2RPJ1B1,,1,1,Both,Nil Max,,
111,12 Society & Culture,2SOR,,2,1,Both,Nil Max,Yes,Yes
112,12 Scientific Studies,2STU,,2,1,Both,Nil Max,Yes,Yes
113,12 Visual Arts - Art,2VAA,,2,1,Both,Nil Max,Yes,Yes
114,12 Workplace Practices,2WPC,,2,1,Both,Nil Max,Yes,Yes
118,Certificate II Electrotechnology,V2ELETECH,,2,0,Both,Nil Max,Yes,Yes
119,Certificate II Plumbing,V2Plumb,,2,0,Both,Nil Max,Yes,Yes
120,Certificate III Business,V3Business,,2,0,Both,Nil Max,Yes,Yes
121,Certificate III Early Childhood,V3ECHEDU,,2,0,Both,Nil Max,Yes,Yes
127,V1AUTSV Certificate I Automotive,V1AUTSV,,2,0,Both,Nil Max,No,No
128,V2 Kitchen Ops,V2HOSKITOP,,2,0,Both,Nil Max,No,No
129,V2Animal,V2Animal,,2,0,Both,Nil Max,No,No
130,V2Auto,V2AUTO,,2,0,Both,Nil Max,No,No
131,V2Construct,V2ConPaint,,2,0,Both,Nil Max,No,No
132,V2ENGPT Certificate II Engineering,V2ENGPT,,2,0,Both,Nil Max,No,No
133,V2FoodPro,V2FoodPro,,2,0,Both,Nil Max,No,No
134,V2Salon Assist,V2Salon,,2,0,Both,Nil Max,No,No
135,V3Brick Brick and Block,V3BRICK,,2,0,Both,Nil Max,No,No
136,V3Carp Carpentry,V3CARP,,2,0,Both,Nil Max,No,No
137,V3CERT III HEALTH SERVICES Yr 1,V3HEALTH1,,2,0,Both,Nil Max,No,No
138,V3Health Services Yr2,V3Health2,,2,0,Both,Nil Max,No,No
139,V3IT Certificate III IT,V3IT,,2,0,Both,Nil Max,No,No
140,V3Plumb V3Plumbing,V3Plumb,,2,0,Both,Nil Max,No,No
,,,,,,,,,
